Date,Potencial de Hidrógeno (in situ),Sólidos Suspendidos Totales,Conductividad Eléctrica,Temperatura de la muestra,Caudal,Oxígeno disuelto (en campo),Turbiedad,Cianuro Total,Plomo total,Cobre total,Arsénico total,Zinc total,Cadmio total,Mercurio total,Potencial rédox,Hierro total,Cromo Total,Niquel total,Manganeso total
2003-01-05,8.19,5.0,849.0,22.5,0.00029,10.6,2.63,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2003-01-12,8.15,5.0,940.0,21.6,0.00029,7.98,3.49,0.004,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2003-01-19,8.52,5.0,871.0,25.8,0.00029,9.36,1.23,0.004,0.03,0.031,0.002,0.022,0.0,0.0,0.0,0.199,0.0,0.0,0.0
2003-01-26,8.39,5.0,815.0,14.2,0.0012,10.92,1.34,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2003-02-02,7.82,5.0,813.0,13.1,0.00076,10.18,1.73,0.004,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2003-02-09,8.3,5.0,854.0,24.5,0.00058,9.15,1.36,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2003-02-16,8.25,5.0,845.0,26.2,0.00042,8.13,4.93,0.004,0.03,0.022,0.002,0.024,0.0,0.0,0.0,0.323,0.0,0.0,0.0
2003-02-23,7.94,5.0,1225.0,17.7,0.002,8.32,1.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2003-03-02,7.94,157.0,233.7,14.5,0.214,8.92,134.0,0.004,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2003-03-09,7.96,43.0,238.8,15.8,0.229,8.77,27.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2003-03-16,7.95,18.0,301.4,11.8,0.165,0.0,7.97,0.004,0.03,0.027,0.002,0.039,0.006,0.0004,0.0,0.412,0.004,0.01,0.196
2003-03-23,7.463333333333334,11.5,524.6333333333333,14.0,0.242,7.574999999999999,11.9,0.0,0.03,0.057,0.002,0.051,0.006,0.0004,0.0,0.489,0.004,0.01,1.198
2003-03-30,7.25,15.0,757.0,13.4,0.228,7.31,3.1,0.004,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2003-04-06,7.23,23.0,720.0,14.0,0.401,7.35,14.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
