Date,Potencial de Hidrógeno (in situ),Conductividad Eléctrica,Temperatura de la muestra,Sólidos Suspendidos Totales,Oxígeno disuelto (en campo),Caudal,Turbiedad,Plomo total,Zinc total,Arsénico total,Cobre total,Cianuro Total,Cadmio total,Mercurio total,Potencial rédox,Hierro total,Cromo Total,Niquel total,Manganeso total,Magnesio total
2003-01-05,8.75,335.3,16.5,24.0,8.01,39.39,21.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2003-01-12,8.71,623.0,16.8,5.0,9.63,44.4,2.37,0.0,0.0,0.0,0.0,0.004,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2003-01-19,8.93,413.3,18.5,9.0,8.5,28.93,9.48,0.03,0.036,0.002,0.019,0.004,0.0,0.0,0.0,0.497,0.0,0.0,0.0,0.0
2003-01-26,8.25,287.2,15.3,37.0,8.41,55.52,41.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2003-02-02,8.26,267.7,13.7,22.0,9.35,57.41,25.6,0.0,0.0,0.0,0.0,0.004,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2003-02-09,8.22,307.6,13.2,82.0,8.76,58.086,65.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2003-02-16,8.11,292.5,11.1,214.0,7.98,58.08,187.0,0.03,0.045,0.007,0.02,0.004,0.0,0.0,0.0,4.96,0.0,0.0,0.0,0.0
2003-02-23,8.44,414.8,15.2,5.0,8.91,21.065,2.67,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2003-03-02,8.29,128.1,12.3,361.0,8.58,79.248,303.0,0.0,0.0,0.0,0.0,0.004,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2003-03-09,8.15,119.0,11.0,355.0,8.45,121.57,303.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2003-03-16,8.14,201.0,14.0,30.0,0.0,63.62,18.8,0.03,0.043,0.002,0.0,0.0,0.006,0.0004,0.0,0.732,0.004,0.01,0.046,4.547
2003-03-23,8.043333333333333,186.3333333333333,12.6,49.66666666666666,7.95,63.838,33.7,0.03,0.0385,0.002,0.0814999999999999,0.0,0.006,0.0004,0.0,1.158,0.004,0.01,0.073,4.326
2003-03-30,8.25,212.1,12.7,13.0,8.3,40.97,10.6,0.0,0.0,0.0,0.0,0.004,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2003-04-06,7.96,174.3,12.6,80.0,8.27,96.09,77.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2003-04-13,8.3,292.0,16.1,6.0,7.79,26.355,2.44,0.03,0.034,0.002,0.016,0.004,0.0,0.0,0.0,0.195,0.0,0.0,0.0,0.0
2003-04-20,8.31,295.0,12.3,5.0,9.63,18.73,1.53,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2003-04-27,8.2,306.8,12.4,5.0,10.59,11.47,1.21,0.0,0.0,0.0,0.0,0.004,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2003-05-04,8.45,523.0,13.8,5.0,10.41,8.77,1.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2003-05-11,7.84,558.0,16.5,5.0,10.18,7.117,0.73,0.03,0.005,0.007,0.01,0.004,0.0,0.0,0.0,0.018,0.0,0.0,0.0,0.0
2003-05-18,7.66,629.0,11.4,5.0,10.15,7.719,1.01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2003-05-25,7.82,597.0,12.2,5.0,9.82,7.766,0.43,0.0,0.0,0.0,0.0,0.004,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2003-06-01,7.7,582.0,9.3,5.0,11.21,7.709,0.79,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
