Date,Potencial de Hidrógeno (in situ),Conductividad Eléctrica,Temperatura de la muestra,Oxígeno disuelto (en campo),Turbiedad,Caudal,Sólidos Suspendidos Totales,Cobre total,Zinc total,Arsénico total,Cadmio total,Plomo total,Potencial rédox,Mercurio total,Hierro total,Manganeso total,Cromo Total,Magnesio total,Niquel total,Sólidos Disueltos Totales
2003-01-05,8.35,828.0,13.9,7.64,8.8,0.0,8.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,594.0
2003-01-12,8.27,951.0,15.3,8.3,3.7,0.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,632.0
2003-01-19,8.3,853.0,15.3,8.45,10.6,0.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,506.0
2003-01-26,8.3,836.0,15.2,8.22,6.6,0.25,7.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,483.0
2003-02-02,8.29,651.3333333333334,12.7,9.85,2.9033333333333338,0.2223333333333333,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,498.0
2003-02-09,8.256666666666668,851.3333333333334,15.333333333333334,0.0,6.706666666666667,0.3206666666666666,13.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,573.0
2003-02-16,8.3125,1019.75,15.375,8.875,13.3,0.7595,18.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,895.0
2003-02-23,8.17,838.0,16.1,7.5,19.2,1.099,44.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1551.0
2003-03-02,8.15,746.0,20.0,8.77,12.4,0.0,19.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1060.0
2003-03-09,8.25,463.7,14.3,8.51,10.3,0.0,16.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,525.0
2003-03-16,7.98,549.0,16.6,0.0,7.95,0.337,10.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.339,0.183,0.0,0.0,0.0,581.0
2003-03-23,8.34,482.1,13.0,7.93,9.55,0.353,11.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,528.0
2003-03-30,8.34,568.0,13.5,7.87,6.11,0.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,531.0
2003-04-06,8.21,367.2,14.6,7.89,7.52,0.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,509.0
2003-04-13,8.24,481.2,15.0,8.34,3.96,0.0,8.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,579.0
2003-04-20,8.26,491.0,16.0,10.52,13.2,0.0,18.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,560.0
